Date,Nifty close,Change,Nifty (n-1) close,20DMA,Nifty - 20DMA,Nifty - 20DMA squared,20DMA crossing,10D MA change,Range,ATR,OI change,COI change,PCR TW,RSI,FII net,DII net,FII + DII net,PE,10D MA FII net,10D MA DII net,Range between Max Ois,PCR TW change,PE change,Up streak,Down streak,Up,Down,Up 2.17%,Down 2.07%,Up 1.11% to 2.17%,Down 1.01% to 2.07%,Up upto 1.11%,Down upto 1.01%,Classification
17-12-2020,13760.55,19.85,13682.7,13228.55,512.15,262297.6225,0,60.68,94.15,149.665,4274,6188,1.24,92.28,2355.25,-2494.36,-139.11,37.79,2877.638,-2310.765,500,-0.12,0.16,5,0,1,0,0,0,0,0,1,0,Up to 1SD
18-12-2020,13328.4,-432.15,13740.7,13267.70714,492.8428571,242894.0818,0,50.2,112.45,147.1356,874,2358,0.97,94.31,2720.95,-2424.61,296.34,37.84,2852.774,-2356.066,300,-0.27,0.05,6,0,1,0,0,0,0,0,1,0,Down to 1SD
21-12-2020,13466.3,137.9,13760.55,13294.21667,34.18333333,1168.500278,0,-2.74,641.9,182.77,-21953,-18496,0.49,59.25,-323.55,486.12,162.57,36.65,2441.213,-2030.745,800,-0.48,-1.19,0,1,0,1,0,1,0,0,0,0,Down 2SD
22-12-2020,13601.1,134.8,13328.4,13323.13333,143.1666667,20496.69444,0,7.33,296.9,191.085,-4530,-2298,0.67,63.37,1153,-661.51,491.49,37.03,2265.553,-1832.803,800,0.18,0.38,1,0,1,0,0,0,0,0,1,0,Up to 1SD
23-12-2020,13749.25,148.15,13466.3,13355.25952,245.8404762,60437.53973,0,7.2,185.45,190.8111,-3027,1176,1.02,66.30,536.13,-1326.92,-790.79,37.4,1962.743,-1716.185,200,0.35,0.37,2,0,1,0,0,0,0,0,1,0,Up to 1SD
24-12-2020,13873.2,123.95,13601.1,13388.3119,360.9380952,130276.3086,0,27.1,143.75,189.371,-4391,4225,1.49,66.84,1225.69,-1897.92,-672.23,37.81,1859.314,-1678.455,500,0.47,0.41,3,0,1,0,0,0,0,0,1,0,Up to 1SD
28-12-2020,13932.6,59.4,13749.25,13436.63571,436.5642857,190588.3756,0,35.94,73.3,185.5624,-12771,5129,1.46,67.44,1588.93,-1386.55,202.38,38.15,1598.664,-1581.21,500,-0.03,0.34,4,0,1,0,0,0,0,0,1,0,Up to 1SD
29-12-2020,13981.95,49.35,13873.2,13481.66429,450.9357143,203343.0184,0,37.45,107.15,180.0008,-14914,1903,1.3,67.92,2349.53,-2010.5,339.03,38.31,1607.179,-1610.149,500,-0.16,0.16,5,0,1,0,0,0,0,0,1,0,Up to 1SD
30-12-2020,13981.75,-0.2,13932.6,13529.90238,452.047619,204347.0499,0,41.41,130.35,176.5757,-22522,23897,1.31,65.96,1824.52,-587.43,1237.09,38.45,1541.222,-1402.213,100,0.01,0.14,6,0,1,0,0,0,0,0,1,0,Down to 1SD
31-12-2020,14018.5,36.75,13981.95,13571.45952,410.2904762,168338.2749,0,29.9,82,170.2774,-33855,7356,1.04,68.40,1135.59,-257.64,877.95,38.45,1456.604,-1256.132,100,-0.27,0,0,1,0,1,0,0,0,0,0,1,Up to 1SD
01-01-2021,14132.9,114.4,13981.75,13614.54286,403.9571429,163181.3733,0,27.78,53.7,162.9791,108503,-48047,0.92,68.43,506.21,69.4,575.61,38.55,1271.7,-999.756,0,-0.12,0.1,1,0,1,0,0,0,0,0,1,0,Up to 1SD
04-01-2021,14199.5,66.6,14018.5,13662.11429,470.7857143,221639.1888,0,37.235,191.25,165.2091,6850,7483,1.03,69.96,1843.22,-715.21,1128.01,38.87,1183.927,-828.816,200,0.11,0.32,2,0,1,0,0,0,0,0,1,0,Up to 1SD
05-01-2021,14146.25,-53.25,14132.9,13706.92143,492.5785714,242633.649,0,87.11,164.15,165.3692,6649,7182,1.3,71.11,986.3,-490.03,496.27,39.05,1314.912,-926.431,500,0.27,0.18,3,0,1,0,0,0,0,0,1,0,Down to 1SD
06-01-2021,14137.35,-8.9,14199.5,13744.56429,401.6857143,161351.4131,0,67.995,201.3,168.1464,-10833,-10971,0.79,66.15,-483.7,-380.41,-864.11,38.9,1151.242,-898.321,500,-0.51,-0.15,0,1,0,1,0,0,0,0,0,1,Down to 1SD
07-01-2021,14347.25,209.9,14146.25,13780.0119,357.3380952,127690.5143,0,53.625,130.1,165.6466,-811,-810,0.79,64.31,382.3,-989.5,-607.2,38.88,1135.859,-864.579,0,0,-0.02,0,2,0,1,0,0,0,0,0,1,Down to 1SD
08-01-2021,14484.75,137.5,14137.35,13818.97143,528.2785714,279078.249,0,59.8,142.15,170.2397,13004,15038,1.3,68.62,6029.83,-2372.54,3657.29,39.45,1616.273,-912.041,300,0.51,0.57,1,0,1,0,0,0,1,0,0,0,Up 1SD to 2SD
11-01-2021,14563.45,78.7,14347.25,13866.89762,617.852381,381741.5646,0,61.155,112.35,168.8619,7580,8216,1.52,95.13,3138.9,-2610.13,528.77,39.72,1771.27,-1034.399,600,0.22,0.27,2,0,1,0,0,0,0,0,1,0,Up to 1SD
